,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
151,CA,C_LT_8FTT8HOST_LFL_N,2030,8.605899812919619,M$/giga lumens,1.4000000000000001e-05,giga lumens
152,CA,C_LT_8FTT8HOST_LFL_N,2035,8.605899812919619,M$/giga lumens,1.4000000000000001e-05,giga lumens
153,CA,C_LT_8FTT8HOST_LFL_N,2040,8.42882067383905,M$/giga lumens,1.4000000000000001e-05,giga lumens
154,CA,C_LT_8FTT8HOST_LFL_N,2045,8.42882067383905,M$/giga lumens,1.4000000000000001e-05,giga lumens
155,CA,C_LT_8FTT8HOST_LFL_N,2050,8.42882067383905,M$/giga lumens,1.4000000000000001e-05,giga lumens
157,CA,C_LT_8FTT8ST_LFL_N,2020,12.295670920635432,M$/giga lumens,9.553e-06,giga lumens
158,CA,C_LT_8FTT8ST_LFL_N,2025,12.295670920635432,M$/giga lumens,9.553e-06,giga lumens
159,CA,C_LT_8FTT8ST_LFL_N,2030,12.022219317219939,M$/giga lumens,9.553e-06,giga lumens
160,CA,C_LT_8FTT8ST_LFL_N,2035,12.022219317219939,M$/giga lumens,9.553e-06,giga lumens
161,CA,C_LT_8FTT8ST_LFL_N,2040,11.761636024553413,M$/giga lumens,9.553e-06,giga lumens
162,CA,C_LT_8FTT8ST_LFL_N,2045,11.761636024553413,M$/giga lumens,9.553e-06,giga lumens
163,CA,C_LT_8FTT8ST_LFL_N,2050,11.761636024553413,M$/giga lumens,9.553e-06,giga lumens
165,CA,C_LT_CFLHE_GSL_N,2020,67.06234358084441,M$/giga lumens,1.6400000000000002e-06,giga lumens
166,CA,C_LT_CFLHE_GSL_N,2025,67.06234358084441,M$/giga lumens,1.6400000000000002e-06,giga lumens
167,CA,C_LT_CFLHE_GSL_N,2030,66.28777850967965,M$/giga lumens,1.6400000000000002e-06,giga lumens
168,CA,C_LT_CFLHE_GSL_N,2035,66.28777850967965,M$/giga lumens,1.6400000000000002e-06,giga lumens
169,CA,C_LT_CFLHE_GSL_N,2040,65.55069239357128,M$/giga lumens,1.6400000000000002e-06,giga lumens
170,CA,C_LT_CFLHE_GSL_N,2045,65.55069239357128,M$/giga lumens,1.6400000000000002e-06,giga lumens
171,CA,C_LT_CFLHE_GSL_N,2050,65.55069239357128,M$/giga lumens,1.6400000000000002e-06,giga lumens
172,CA,C_LT_CFLST_GSL_N,2020,68.16144708964802,M$/giga lumens,1.6110000000000001e-06,giga lumens
173,CA,C_LT_CFLST_GSL_N,2025,68.16144708964802,M$/giga lumens,1.6110000000000001e-06,giga lumens
174,CA,C_LT_CFLST_GSL_N,2030,67.3792978227363,M$/giga lumens,1.6110000000000001e-06,giga lumens
175,CA,C_LT_CFLST_GSL_N,2035,67.3792978227363,M$/giga lumens,1.6110000000000001e-06,giga lumens
176,CA,C_LT_CFLST_GSL_N,2040,66.63530217860078,M$/giga lumens,1.6110000000000001e-06,giga lumens
177,CA,C_LT_CFLST_GSL_N,2045,66.63530217860078,M$/giga lumens,1.6110000000000001e-06,giga lumens
178,CA,C_LT_CFLST_GSL_N,2050,66.63530217860078,M$/giga lumens,1.6110000000000001e-06,giga lumens
180,CA,C_LT_HALST_RFL_N,2020,83.03152481626535,M$/giga lumens,1.35e-06,giga lumens
181,CA,C_LT_HALST_RFL_N,2025,83.03152481626535,M$/giga lumens,1.35e-06,giga lumens
182,CA,C_LT_HALST_RFL_N,2030,82.01468837636591,M$/giga lumens,1.35e-06,giga lumens
183,CA,C_LT_HALST_RFL_N,2035,82.01468837636591,M$/giga lumens,1.35e-06,giga lumens
