,Tech_Code_Pandas,regions,Subsector,input_comm,Tech Description,tech,vintage,output_comm,efficiency,eff_notes
80,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8HE_LFL_N,2020.0,CLTT8,2.9490106544901065,Giga Lm-Y/PJ
81,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8ST_LFL_N,2020.0,CLTT8,2.885591070522577,Giga Lm-Y/PJ
82,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8HE_LFL_N,2025.0,CLTT8,2.9490106544901065,Giga Lm-Y/PJ
83,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8ST_LFL_N,2025.0,CLTT8,2.885591070522577,Giga Lm-Y/PJ
84,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8HE_LFL_N,2030.0,CLTT8,3.0124302384576356,Giga Lm-Y/PJ
85,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8ST_LFL_N,2030.0,CLTT8,2.9173008625063415,Giga Lm-Y/PJ
86,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8HE_LFL_N,2035.0,CLTT8,3.0124302384576356,Giga Lm-Y/PJ
87,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8ST_LFL_N,2035.0,CLTT8,2.9173008625063415,Giga Lm-Y/PJ
88,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8HE_LFL_N,2040.0,CLTT8,3.0758498224251642,Giga Lm-Y/PJ
89,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8ST_LFL_N,2040.0,CLTT8,2.980720446473871,Giga Lm-Y/PJ
