,periods,regions,tech,vintage,cost_fixed,cost_fixed_units,capacity,capacity_units,lifetime
276,2045,CA,C_LT_8FTLUMHE_LFL_N,2045,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
277,2050,CA,C_LT_8FTLUMHE_LFL_N,2045,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
278,2050,CA,C_LT_8FTLUMHE_LFL_N,2050,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
279,2020,CA,C_LT_8FTLUMST_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
280,2025,CA,C_LT_8FTLUMST_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
281,2030,CA,C_LT_8FTLUMST_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
282,2035,CA,C_LT_8FTLUMST_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
283,2040,CA,C_LT_8FTLUMST_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
284,2025,CA,C_LT_8FTLUMST_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
285,2030,CA,C_LT_8FTLUMST_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
286,2035,CA,C_LT_8FTLUMST_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
287,2040,CA,C_LT_8FTLUMST_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
288,2045,CA,C_LT_8FTLUMST_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
289,2030,CA,C_LT_8FTLUMST_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
290,2035,CA,C_LT_8FTLUMST_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
291,2040,CA,C_LT_8FTLUMST_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
292,2045,CA,C_LT_8FTLUMST_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
293,2050,CA,C_LT_8FTLUMST_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
294,2035,CA,C_LT_8FTLUMST_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
295,2040,CA,C_LT_8FTLUMST_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
296,2045,CA,C_LT_8FTLUMST_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
297,2050,CA,C_LT_8FTLUMST_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
298,2040,CA,C_LT_8FTLUMST_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
299,2045,CA,C_LT_8FTLUMST_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
300,2050,CA,C_LT_8FTLUMST_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
301,2045,CA,C_LT_8FTLUMST_LFL_N,2045,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
302,2050,CA,C_LT_8FTLUMST_LFL_N,2045,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
303,2050,CA,C_LT_8FTLUMST_LFL_N,2050,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
304,2020,CA,C_LT_8FTT8HE_LFL_N,2020,0.8211237106844574,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
305,2025,CA,C_LT_8FTT8HE_LFL_N,2020,0.8211237106844574,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
306,2025,CA,C_LT_8FTT8HE_LFL_N,2025,0.8211237106844574,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
307,2030,CA,C_LT_8FTT8HE_LFL_N,2025,0.8211237106844574,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
308,2030,CA,C_LT_8FTT8HE_LFL_N,2030,0.7586016007338643,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
309,2035,CA,C_LT_8FTT8HE_LFL_N,2030,0.7586016007338643,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
310,2035,CA,C_LT_8FTT8HE_LFL_N,2035,0.7586016007338643,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
311,2040,CA,C_LT_8FTT8HE_LFL_N,2035,0.7586016007338643,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
312,2040,CA,C_LT_8FTT8HE_LFL_N,2040,0.7012896666124872,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
313,2045,CA,C_LT_8FTT8HE_LFL_N,2040,0.7012896666124872,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
314,2045,CA,C_LT_8FTT8HE_LFL_N,2045,0.7012896666124872,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
315,2050,CA,C_LT_8FTT8HE_LFL_N,2045,0.7012896666124872,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
316,2050,CA,C_LT_8FTT8HE_LFL_N,2050,0.7012896666124872,M$/giga lumens,9.831000000000001e-06,giga lumens,6.0
317,2020,CA,C_LT_8FTT8HOHE_LFL_N,2020,0.9006919550048801,M$/giga lumens,1.482e-05,giga lumens,5.0
319,2025,CA,C_LT_8FTT8HOHE_LFL_N,2025,0.9006919550048801,M$/giga lumens,1.482e-05,giga lumens,5.0
321,2030,CA,C_LT_8FTT8HOHE_LFL_N,2030,0.8329499660636075,M$/giga lumens,1.482e-05,giga lumens,5.0
323,2035,CA,C_LT_8FTT8HOHE_LFL_N,2035,0.8329499660636075,M$/giga lumens,1.482e-05,giga lumens,5.0
325,2040,CA,C_LT_8FTT8HOHE_LFL_N,2040,0.7714291801883701,M$/giga lumens,1.482e-05,giga lumens,5.0
327,2045,CA,C_LT_8FTT8HOHE_LFL_N,2045,0.7714291801883701,M$/giga lumens,1.482e-05,giga lumens,5.0
329,2050,CA,C_LT_8FTT8HOHE_LFL_N,2050,0.7714291801883701,M$/giga lumens,1.482e-05,giga lumens,5.0
330,2020,CA,C_LT_8FTT8HOST_LFL_N,2020,0.8436869725615439,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
332,2025,CA,C_LT_8FTT8HOST_LFL_N,2025,0.8436869725615439,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
334,2030,CA,C_LT_8FTT8HOST_LFL_N,2030,0.7829532182487876,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
336,2035,CA,C_LT_8FTT8HOST_LFL_N,2035,0.7829532182487876,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
338,2040,CA,C_LT_8FTT8HOST_LFL_N,2040,0.7266098558140618,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
340,2045,CA,C_LT_8FTT8HOST_LFL_N,2045,0.7266098558140618,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
342,2050,CA,C_LT_8FTT8HOST_LFL_N,2050,0.7266098558140618,M$/giga lumens,1.4000000000000001e-05,giga lumens,5.0
343,2019,CA,C_LT_8FTT8HO_LFL_R,2019,1.1482825478434668,M$/giga lumens,1.2026000000000001e-05,giga lumens,4.0
344,2020,CA,C_LT_8FTT8HO_LFL_R,2019,1.1482825478434668,M$/giga lumens,1.2026000000000001e-05,giga lumens,4.0
345,2020,CA,C_LT_8FTT8ST_LFL_N,2020,0.7592303341888964,M$/giga lumens,9.553e-06,giga lumens,6.0
